,sentiment,totalScores,positive,negative
2017-11-28 00:00:00,0.061370212765957444,799,0.8,0.2
2017-11-29 00:00:00,0.02529257045260461,1171,0.75,0.25
2017-11-30 00:00:00,0.08539562647754137,846,0.84,0.16
2017-12-01 00:00:00,0.049123380281690145,710,0.8,0.2
2017-12-02 00:00:00,0.07067303370786517,178,0.81,0.19
2017-12-03 00:00:00,0.09691724137931035,174,0.86,0.14
2017-12-04 00:00:00,0.0865714467005076,788,0.8,0.2
2017-12-05 00:00:00,0.07150675105485231,474,0.81,0.19
2017-12-06 00:00:00,0.013642137096774193,496,0.75,0.25
2017-12-07 00:00:00,0.06368769716088328,317,0.83,0.17
2017-12-08 00:00:00,0.057354447439353105,371,0.78,0.22
2017-12-09 00:00:00,0.12448536585365855,82,0.87,0.13
2017-12-10 00:00:00,0.062303947368421056,76,0.89,0.11
2017-12-11 00:00:00,0.010926268656716417,335,0.76,0.24
2017-12-12 00:00:00,-0.012312794612794612,297,0.79,0.21
2017-12-13 00:00:00,0.014496311475409836,244,0.79,0.21
2017-12-14 00:00:00,0.029908012820512822,312,0.8,0.2
2017-12-15 00:00:00,-0.015778861788617888,369,0.74,0.26
2017-12-16 00:00:00,0.10894615384615385,78,0.86,0.14
2017-12-17 00:00:00,0.14560625,80,0.86,0.14
2017-12-18 00:00:00,0.03750302013422819,298,0.8,0.2
2017-12-19 00:00:00,0.05775805243445693,267,0.8,0.2
2017-12-20 00:00:00,0.0667661921708185,281,0.81,0.19
2017-12-21 00:00:00,0.06667292418772564,277,0.79,0.21
2017-12-22 00:00:00,0.09250327868852459,183,0.82,0.18
2017-12-23 00:00:00,0.16088833333333333,60,0.93,0.07
2017-12-24 00:00:00,0.07246041666666667,48,0.83,0.17
2017-12-25 00:00:00,0.07121489361702128,47,0.91,0.09
2017-12-26 00:00:00,0.13106411149825783,287,0.85,0.15
2017-12-27 00:00:00,0.08849955555555557,225,0.82,0.18
2017-12-28 00:00:00,0.1131020325203252,246,0.87,0.13
2017-12-29 00:00:00,0.07028982300884956,452,0.83,0.17
2017-12-30 00:00:00,-0.01232962962962963,81,0.78,0.22
2017-12-31 00:00:00,0.07444651162790698,43,0.88,0.12
2018-01-01 00:00:00,0.008032467532467533,77,0.82,0.18
2018-01-02 00:00:00,0.15260975609756097,328,0.87,0.13
2018-01-03 00:00:00,0.09180917159763315,338,0.85,0.15
2018-01-04 00:00:00,0.11094747081712063,257,0.84,0.16
2018-01-05 00:00:00,0.12924708624708625,429,0.87,0.13
2018-01-06 00:00:00,0.1208059829059829,117,0.88,0.12
2018-01-07 00:00:00,0.06662315789473684,95,0.92,0.08
2018-01-08 00:00:00,0.11782005012531328,399,0.86,0.14
2018-01-09 00:00:00,0.08545985748218528,421,0.83,0.17
2018-01-10 00:00:00,0.12081079365079364,315,0.83,0.17
2018-01-11 00:00:00,0.15801623376623378,462,0.85,0.15
2018-01-12 00:00:00,0.11816036036036036,666,0.81,0.19
2018-01-13 00:00:00,0.154233125,160,0.89,0.11
2018-01-14 00:00:00,0.061446808510638294,94,0.82,0.18
2018-01-15 00:00:00,0.03400744680851064,94,0.85,0.15
2018-01-16 00:00:00,0.10764979919678715,498,0.81,0.19
2018-01-17 00:00:00,0.0478705596107056,411,0.74,0.26
