Date,Open,High,Low,Close,Volume,Volatility,sentiment,RSI
2019-04-10,365.79,368.8481,362.25,363.95,4303760,0.010063718304753985,0.12492922535211268,53.04186022530991
2019-04-11,365.0,370.12,360.81,367.65,6111437,0.0205817271805592,0.1056271070615034,55.93925713908068
2019-04-12,360.69,361.75,349.36,351.14,14323643,0.17383990012905712,0.04319572016460905,43.14630555428888
2019-04-15,350.71,352.21,342.27,348.8851,8309396,0.0192708615739198,0.05938233369683753,41.7422170919389
2019-04-16,355.0,364.4787,352.72,359.61,14364530,0.08415597386833233,0.050312004287245436,50.06562407742901
2019-04-17,365.05,368.764,350.6,354.84,16085405,0.2087134063881432,0.015535726210350584,46.858986484425344
2019-04-18,354.95,360.41,351.64,360.35,8049911,0.05524302385596417,0.01891395833333333,50.7805972679318
2019-04-22,359.7,377.69,359.0,377.36,11282629,0.2532174383659766,0.1171521681997372,60.47720277556997
2019-04-23,375.45,384.8,374.7069,381.88,9304333,0.07603067081405572,0.05370152284263959,62.58646666450215
2019-04-24,381.07,381.9,373.2698,374.19,6111210,0.05343283901945727,-0.06364846153846154,57.01178034858734
2019-04-25,374.49,374.76,365.7,368.34,5871934,0.04589325753535426,-0.060687339055794,53.13447000640489
2019-04-26,368.35,375.14,366.24,375.02,4810395,0.040775488939418125,-0.0012958115183246074,56.75142452155016
2019-04-29,373.68,374.5753,369.115,371.71,3560763,0.008914600773070405,0.0241263358778626,54.50663761002868
2019-04-30,369.99,374.5,368.348,370.51,3467914,0.002291734309647339,-0.04966579925650557,53.677684315827854
2019-05-01,374.0,385.99,373.1746,378.81,8709382,0.05323840305536336,0.041350000000000005,58.3912237248746
2019-05-02,378.0,383.5,374.51,379.05,5034699,0.0067182384540655895,-0.020461494252873563,58.52265106045448
2019-05-03,381.53,385.03,378.2717,385.03,4706870,0.020935958655646455,0.023268094218415417,61.76346374324396
2019-05-06,377.69,381.35,376.0,378.73,5316892,0.00702722375300548,-0.004513620071684588,56.73412008881995
2019-05-07,377.0,379.91,365.81,370.66,6426859,0.05178221622699829,0.01338103448275862,51.00473714636563
2019-05-08,367.92,369.0,361.36,364.39,6110079,0.02741032184162259,0.06598535211267606,47.030769718070424
2019-05-09,360.9,364.2,352.75,362.67,5583331,0.012559121026373386,0.014780620155038759,45.972592578625196
2019-05-10,361.62,365.2578,353.06,360.9325,5384688,0.004704634087883059,0.030812946428571436,44.874208720966706
2019-05-13,352.29,354.26,343.1,345.14,7504074,0.06818608474981844,-0.02633384615384616,36.36880500322821
2019-05-14,348.71,349.95,342.5,345.5542,4955965,0.01987606033986689,0.08718851674641148,36.70764391958752
2019-05-15,343.34,356.5,341.39,354.99,5865241,0.08683691600322464,0.08934191419141914,44.02077566249933
2019-05-16,356.37,364.0,353.935,359.24,6063486,0.02211550597492067,0.18072683982683985,46.991695502452785
2019-05-17,356.39,359.62,353.785,354.43,4601589,0.011461897003825229,0.04774895104895105,44.13670421316679
2019-05-20,351.23,352.418,345.4,348.05,4300557,0.01737978630527224,-0.06219140625,40.61218177640225
2019-05-21,350.95,356.425,349.93,354.3,3641465,0.015502921613850562,0.10805277777777778,45.22657204758406
