Open,High,Low,Close,Volume,Volatility,sentiment,RSI
1133.04,1142.8496,1126.05,1126.5701,1277477,0.06536005278416962,0.03492409638554217,58.752098843184555
1125.0,1136.13,1117.09,1129.32,896341,0.0303009400796669,-0.045844554455445545,59.35868898515889
1136.73,1139.3,1116.72,1119.08,1236662,0.1735945789385103,-0.07618275862068966,56.05301363687051
1116.64,1129.64,1116.64,1125.4344,768872,0.05336193684301675,0.05270238095238095,57.62987992937701
1128.88,1130.93,1111.75,1120.99,1019374,0.06358602941518499,0.09834199999999996,56.11333553317686
1118.78,1119.15,1097.98,1104.5,1379202,0.15657896680145944,0.09417837837837838,50.77451415934543
1109.7,1117.25,1100.5,1116.69,1126321,0.06223028165403417,0.10432894736842106,54.24051131297819
1124.3,1125.4,1114.11,1117.03,1055383,0.06063134176542623,-0.05295277777777778,54.33708564467155
1114.37,1126.435,1106.7,1122.0,1314597,0.07944789938204648,-0.009786440677966102,55.80537665689218
1114.01,1125.73,1108.56,1122.89,888829,0.06238844215844301,-0.044764705882352936,56.0777417686829
1120.05,1133.99,1118.41,1127.04,1056546,0.05833784857145637,0.12242266666666665,57.396219948842955
1132.1,1150.0,1131.0,1147.92,1317656,0.16575933918745225,0.12545405405405405,63.35633060740615
1154.56,1165.52,1138.25,1153.69,1432109,0.00934140859687491,0.025088109161793368,64.82093549077577
1156.0,1176.4899,1153.02,1168.98,1778223,0.1836044463962068,0.15793333333333331,68.42268180697391
1171.76,1174.74,1163.05,1164.95,1023368,0.055016891940794996,0.07761208791208793,66.49040190624096
1160.5,1163.58,1141.715,1151.56,1170172,0.08288730729870569,0.03847951807228917,60.38825525707483
1133.9,1153.4504,1130.2,1149.71,1012099,0.12710028691726913,0.12057222222222225,59.57474744617946
1152.0,1179.91,1151.57,1178.98,1185310,0.2546198575533523,0.14335588235294114,67.1214548844021
1182.74,1205.71,1182.3,1197.79,1887078,0.2260556086746305,0.11578615384615384,70.88327522276339
