,sentiment,totalScores,positive,negative
2018-04-06 00:00:00,0.04928421052631579,627,0.75,0.25
2018-04-07 00:00:00,0.030721290322580645,155,0.82,0.18
2018-04-08 00:00:00,0.12142727272727272,165,0.87,0.13
2018-04-09 00:00:00,0.058466420664206646,542,0.78,0.22
2018-04-10 00:00:00,0.12780859375,640,0.8,0.2
2018-04-11 00:00:00,0.126184193194292,911,0.81,0.19
2018-04-12 00:00:00,0.12595079872204473,626,0.82,0.18
2018-04-13 00:00:00,0.12670112936344968,974,0.81,0.19
2018-04-14 00:00:00,0.05701601731601732,231,0.84,0.16
2018-04-15 00:00:00,0.1344027450980392,255,0.9,0.1
2018-04-16 00:00:00,0.029781532467532467,3850,0.75,0.25
2018-04-17 00:00:00,0.05925614307931571,2572,0.74,0.26
2018-04-18 00:00:00,0.05639927835051546,970,0.74,0.26
2018-04-19 00:00:00,0.08125734870317003,694,0.76,0.24
2018-04-20 00:00:00,0.016193375394321766,634,0.72,0.28
2018-04-21 00:00:00,0.07354563106796116,103,0.9,0.1
2018-04-22 00:00:00,0.05199242424242424,66,0.85,0.15
2018-04-23 00:00:00,-0.005657427536231884,552,0.73,0.27
2018-04-24 00:00:00,-0.006364480198019802,808,0.7,0.3
2018-04-25 00:00:00,0.027776923076923074,728,0.73,0.27
2018-04-26 00:00:00,0.0747116379310345,464,0.75,0.25
2018-04-27 00:00:00,-0.02576655518394649,299,0.75,0.25
2018-04-28 00:00:00,0.0787923076923077,78,0.86,0.14
2018-04-29 00:00:00,0.00545,66,0.83,0.17
2018-04-30 00:00:00,0.003287450980392157,255,0.79,0.21
2018-05-01 00:00:00,0.050768045112781955,266,0.79,0.21
2018-05-02 00:00:00,0.09602539682539682,252,0.85,0.15
2018-05-03 00:00:00,0.05425761904761905,210,0.8,0.2
2018-05-04 00:00:00,0.09740441176470588,340,0.77,0.23
2018-05-05 00:00:00,0.03697051282051282,78,0.81,0.19
2018-05-06 00:00:00,0.17930178571428573,56,0.91,0.09
2018-05-07 00:00:00,0.10424411764705882,272,0.8,0.2
2018-05-08 00:00:00,0.18820553359683795,253,0.84,0.16
2018-05-09 00:00:00,0.07666971428571429,350,0.77,0.23
2018-05-10 00:00:00,0.08717418181818182,275,0.77,0.23
2018-05-11 00:00:00,0.038138034188034194,234,0.76,0.24
2018-05-12 00:00:00,0.07194252873563219,87,0.86,0.14
2018-05-13 00:00:00,0.1263144927536232,69,0.88,0.12
2018-05-14 00:00:00,0.10695023696682465,211,0.83,0.17
2018-05-15 00:00:00,0.08223787878787879,264,0.79,0.21
2018-05-16 00:00:00,0.0221444976076555,209,0.75,0.25
2018-05-17 00:00:00,0.04587477477477478,222,0.77,0.23
2018-05-18 00:00:00,0.016696132596685082,181,0.8,0.2
2018-05-19 00:00:00,-0.009123728813559322,59,0.8,0.2
2018-05-20 00:00:00,0.06463626373626373,91,0.78,0.22
2018-05-21 00:00:00,0.10082847222222222,288,0.82,0.18
2018-05-22 00:00:00,-0.01967785888077859,411,0.77,0.23
2018-05-23 00:00:00,0.08622305909617613,863,0.79,0.21
2018-05-24 00:00:00,0.038014732142857145,1120,0.74,0.26
2018-05-25 00:00:00,0.021093908629441625,591,0.72,0.28
2018-05-26 00:00:00,0.11629285714285713,98,0.83,0.17
2018-05-27 00:00:00,0.062737,100,0.85,0.15
2018-05-28 00:00:00,0.06355688073394496,109,0.86,0.14
2018-05-29 00:00:00,0.03393778625954198,524,0.73,0.27
2018-05-30 00:00:00,0.04057184466019417,309,0.79,0.21
2018-05-31 00:00:00,-0.06827025089605734,279,0.69,0.31
2018-06-01 00:00:00,0.11131284403669725,436,0.81,0.19
2018-06-02 00:00:00,0.13701616161616162,99,0.89,0.11
2018-06-03 00:00:00,0.12393936170212766,94,0.85,0.15
2018-06-04 00:00:00,0.07555466237942121,311,0.81,0.19
2018-06-05 00:00:00,0.018115120967741934,496,0.74,0.26
2018-06-06 00:00:00,0.031432288401253915,319,0.77,0.23
2018-06-07 00:00:00,0.016695166163141994,331,0.76,0.24
2018-06-08 00:00:00,0.017372542372881355,295,0.78,0.22
2018-06-09 00:00:00,-0.028970833333333335,48,0.75,0.25
2018-06-10 00:00:00,0.08265,38,0.79,0.21
2018-06-11 00:00:00,0.11325763546798029,203,0.82,0.18
2018-06-12 00:00:00,0.02114548611111111,288,0.77,0.23
2018-06-13 00:00:00,0.08815607476635515,1391,0.79,0.21
2018-06-14 00:00:00,0.05496121076233184,1338,0.75,0.25
2018-06-15 00:00:00,0.040009871794871796,780,0.75,0.25
2018-06-16 00:00:00,0.07449903846153846,104,0.85,0.15
2018-06-17 00:00:00,-0.001101980198019802,101,0.77,0.23
2018-06-18 00:00:00,0.030727807486631016,374,0.75,0.25
2018-06-19 00:00:00,0.07005422191207257,1433,0.76,0.24
2018-06-20 00:00:00,0.027259306301905227,2047,0.71,0.29
2018-06-21 00:00:00,-0.00876072911859714,2167,0.68,0.32
2018-06-22 00:00:00,-0.04613588129496403,1112,0.67,0.33
2018-06-23 00:00:00,-0.07809,140,0.66,0.34
2018-06-24 00:00:00,-0.057069642857142854,112,0.71,0.29
2018-06-25 00:00:00,0.023671090387374465,1394,0.72,0.28
2018-06-26 00:00:00,0.03975155071248952,1193,0.72,0.28
2018-06-27 00:00:00,-0.0063050977060322855,1177,0.7,0.3
2018-06-28 00:00:00,0.08875661501787843,839,0.77,0.23
2018-06-29 00:00:00,0.03434701378254211,653,0.74,0.26
2018-06-30 00:00:00,-0.012927397260273973,73,0.78,0.22
2018-07-01 00:00:00,0.06266493506493506,77,0.84,0.16
2018-07-02 00:00:00,0.05974254237288136,590,0.75,0.25
2018-07-03 00:00:00,0.03333464566929134,381,0.76,0.24
2018-07-04 00:00:00,0.0412608,125,0.78,0.22
2018-07-05 00:00:00,0.06753177339901478,406,0.78,0.22
2018-07-06 00:00:00,0.08721023622047244,508,0.79,0.21
2018-07-07 00:00:00,0.21544938271604938,81,0.84,0.16
2018-07-08 00:00:00,0.08590421052631579,95,0.82,0.18
2018-07-09 00:00:00,0.08709967689822294,619,0.78,0.22
2018-07-10 00:00:00,0.053176680384087786,729,0.76,0.24
2018-07-11 00:00:00,0.04415431789737172,799,0.74,0.26
2018-07-12 00:00:00,0.05440243217960711,1069,0.74,0.26
2018-07-13 00:00:00,0.006156833114323259,1522,0.69,0.31
2018-07-14 00:00:00,0.02496006389776358,313,0.78,0.22
2018-07-15 00:00:00,0.04911287553648069,233,0.82,0.18
2018-07-16 00:00:00,-0.017864816250581485,6449,0.72,0.28
2018-07-17 00:00:00,0.04500173166472642,6872,0.72,0.28
2018-07-18 00:00:00,0.002253112507138778,1751,0.7,0.3
2018-07-19 00:00:00,-0.057380646817248464,1948,0.66,0.34
2018-07-20 00:00:00,-0.004725798101811907,1159,0.69,0.31
2018-07-21 00:00:00,-0.010938,150,0.77,0.23
2018-07-22 00:00:00,0.03798759124087591,137,0.76,0.24
2018-07-23 00:00:00,0.12241227621483376,782,0.78,0.22
2018-07-24 00:00:00,0.010325775022143489,1129,0.71,0.29
2018-07-25 00:00:00,0.0242504873294347,1026,0.73,0.27
2018-07-26 00:00:00,0.06340401505646173,797,0.77,0.23
2018-07-27 00:00:00,0.052752504038772206,619,0.76,0.24
2018-07-28 00:00:00,0.015143925233644861,107,0.76,0.24
2018-07-29 00:00:00,0.07618035714285713,112,0.79,0.21
2018-07-30 00:00:00,-0.062435125758889855,1153,0.66,0.34
2018-07-31 00:00:00,0.03592394916911046,1023,0.73,0.27
2018-08-01 00:00:00,0.025474221453287198,578,0.75,0.25
2018-08-02 00:00:00,0.11361009708737864,515,0.82,0.18
